datetime,total_visitor,total_accomodation
1/1/2014,164430,10055
2/1/2014,137055,10079
3/1/2014,167030,10132
4/1/2014,151982,10190
5/1/2014,154299,10274
6/1/2014,190932,10344
7/1/2014,146590,10420
8/1/2014,158977,10435
9/1/2014,151855,10453
10/1/2014,166931,10468
11/1/2014,161994,10550
12/1/2014,221350,10591
1/1/2015,147641,10641
2/1/2015,165508,10726
3/1/2015,164541,10743
4/1/2015,163847,10824
5/1/2015,190186,10883
6/1/2015,175348,10984
7/1/2015,151972,11055
8/1/2015,184185,11148
9/1/2015,155397,11219
10/1/2015,156990,11235
11/1/2015,160476,11319
12/1/2015,221582,11412
1/1/2016,143078,11501
2/1/2016,165385,11514
3/1/2016,167377,11529
4/1/2016,164834,11596
5/1/2016,172376,11627
6/1/2016,165849,11662
7/1/2016,138567,11674
8/1/2016,142055,11724
9/1/2016,156245,11793
10/1/2016,150689,11816
11/1/2016,142045,11900
12/1/2016,211732,11991
1/1/2017,180813,12012
2/1/2017,134488,12108
3/1/2017,173371,12129
4/1/2017,184866,12151
5/1/2017,156772,12185
6/1/2017,180402,12239
7/1/2017,171032,12267
8/1/2017,179479,12331
9/1/2017,172161,12385
10/1/2017,166965,12402
11/1/2017,173162,12464
12/1/2017,266451,12528
1/1/2018,157025,12569
2/1/2018,205965,12629
3/1/2018,234156,12682
4/1/2018,194118,12773
5/1/2018,192553,12852
6/1/2018,228394,12879
7/1/2018,213521,12971
8/1/2018,236084,13002
9/1/2018,226980,13048
10/1/2018,205819,13113
11/1/2018,220938,13181
12/1/2018,319451,13193
1/1/2019,192856,13230
2/1/2019,233194,13313
3/1/2019,260289,13357
4/1/2019,229250,13427
5/1/2019,225171,13490
6/1/2019,265904,13562
7/1/2019,217313,13650
8/1/2019,264933,13666
9/1/2019,230576,13751
10/1/2019,227146,13809
11/1/2019,241249,13903
12/1/2019,276914,13943
1/1/2020,220696,14010
2/1/2020,124465,14080
3/1/2020,54102,14113
4/1/2020,1139,14142
5/1/2020,1798,14188
6/1/2020,1787,14201
7/1/2020,1765,14302
8/1/2020,1654,14331
9/1/2020,1999,14400
10/1/2020,740,14433
11/1/2020,561,14492
12/1/2020,542,14550
1/1/2021,261,14610
2/1/2021,173,14655
3/1/2021,428,14730
4/1/2021,248,14818
5/1/2021,265,14861
6/1/2021,271,14906
7/1/2021,161,14921
8/1/2021,165,14969
9/1/2021,144,15020
10/1/2021,158,15087
11/1/2021,285,15108
12/1/2021,544,15120
1/1/2022,328,15147
2/1/2022,364,15196
3/1/2022,1363,15226
4/1/2022,11807,15250
5/1/2022,23842,15285
6/1/2022,57469,15302
7/1/2022,80215,15398
8/1/2022,79470,15449
9/1/2022,104652,15502
10/1/2022,106160,15525
11/1/2022,103940,15612
12/1/2022,188544,16229
